#: table_doi: 10.17182/hepdata.56006.v1/t1
#: name: Table 1
#: description: Measured differential yield of charged hadrons as a function oftransverse momentum for pseudorapidities 0.1, 0.3, 0.5 and 0.7 for centre-of-mass energy 7000 GeV.Errors are statistical and systematic added in quadrature.

#: data_file: Table1.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering
#: keyword cmenergies: 7000.0
#: ETARAP(P=3),,,0.0-0.2
#: RE,,,P P --> CHARGED X
#: SQRT(S) [GeV],,,7000.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2(N)/DETARAP(P=3)/DPT(P=3) [GEV**-1],error +,error -
0.15000000000000002,0.1,0.2,8.3,0.43,-0.43
0.25,0.2,0.3,9.76,0.49,-0.49
0.35,0.3,0.4,7.87,0.4,-0.4
0.45,0.4,0.5,6.18,0.32,-0.32
0.55,0.5,0.6,4.76,0.25,-0.25
0.6499999999999999,0.6,0.7,3.75,0.2,-0.2
0.75,0.7,0.8,2.9,0.16,-0.16
0.8500000000000001,0.8,0.9,2.26,0.13,-0.13
0.95,0.9,1.0,1.79,0.11,-0.11
1.1,1.0,1.2,1.28,0.07,-0.07
1.2999999999999998,1.2,1.4,0.84,0.05,-0.05
1.5,1.4,1.6,0.53,0.03,-0.03
1.7000000000000002,1.6,1.8,0.36,0.03,-0.03
1.9,1.8,2.0,0.24,0.02,-0.02

#: ETARAP(P=3),,,0.2-0.4
#: RE,,,P P --> CHARGED X
#: SQRT(S) [GeV],,,7000.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2(N)/DETARAP(P=3)/DPT(P=3) [GEV**-1],error +,error -
0.15000000000000002,0.1,0.2,8.48,0.44,-0.44
0.25,0.2,0.3,9.68,0.49,-0.49
0.35,0.3,0.4,8.07,0.41,-0.41
0.45,0.4,0.5,6.3,0.33,-0.33
0.55,0.5,0.6,4.92,0.26,-0.26
0.6499999999999999,0.6,0.7,3.8,0.21,-0.21
0.75,0.7,0.8,2.86,0.16,-0.16
0.8500000000000001,0.8,0.9,2.27,0.13,-0.13
0.95,0.9,1.0,1.79,0.11,-0.11
1.1,1.0,1.2,1.32,0.07,-0.07
1.2999999999999998,1.2,1.4,0.83,0.05,-0.05
1.5,1.4,1.6,0.56,0.04,-0.04
1.7000000000000002,1.6,1.8,0.39,0.03,-0.03
1.9,1.8,2.0,0.26,0.02,-0.02

#: ETARAP(P=3),,,0.4-0.6
#: RE,,,P P --> CHARGED X
#: SQRT(S) [GeV],,,7000.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2(N)/DETARAP(P=3)/DPT(P=3) [GEV**-1],error +,error -
0.15000000000000002,0.1,0.2,8.73,0.45,-0.45
0.25,0.2,0.3,9.9,0.5,-0.5
0.35,0.3,0.4,8.14,0.41,-0.41
0.45,0.4,0.5,6.32,0.33,-0.33
0.55,0.5,0.6,4.83,0.26,-0.26
0.6499999999999999,0.6,0.7,3.74,0.2,-0.2
0.75,0.7,0.8,2.98,0.17,-0.17
0.8500000000000001,0.8,0.9,2.33,0.13,-0.13
0.95,0.9,1.0,1.8,0.11,-0.11
1.1,1.0,1.2,1.32,0.07,-0.07
1.2999999999999998,1.2,1.4,0.85,0.05,-0.05
1.5,1.4,1.6,0.57,0.04,-0.04
1.7000000000000002,1.6,1.8,0.38,0.03,-0.03
1.9,1.8,2.0,0.28,0.02,-0.02

#: ETARAP(P=3),,,0.6-0.8
#: RE,,,P P --> CHARGED X
#: SQRT(S) [GeV],,,7000.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2(N)/DETARAP(P=3)/DPT(P=3) [GEV**-1],error +,error -
0.15000000000000002,0.1,0.2,9.14,0.47,-0.47
0.25,0.2,0.3,9.95,0.5,-0.5
0.35,0.3,0.4,8.12,0.41,-0.41
0.45,0.4,0.5,6.37,0.33,-0.33
0.55,0.5,0.6,4.92,0.26,-0.26
0.6499999999999999,0.6,0.7,3.71,0.2,-0.2
0.75,0.7,0.8,2.96,0.17,-0.17
0.8500000000000001,0.8,0.9,2.31,0.13,-0.13
0.95,0.9,1.0,1.8,0.11,-0.11
1.1,1.0,1.2,1.29,0.07,-0.07
1.2999999999999998,1.2,1.4,0.82,0.05,-0.05
1.5,1.4,1.6,0.55,0.04,-0.04
1.7000000000000002,1.6,1.8,0.37,0.03,-0.03
1.9,1.8,2.0,0.26,0.02,-0.02

