#: table_doi: 10.17182/hepdata.56006.v1/t2
#: name: Table 2
#: description: Measured differential yield of charged hadrons as a function oftransverse momentum for pseudorapidities 0.9, 1.1, 1.3 and 1.5 for centre-of-mass energy 7000 GeV.Errors are statistical and systematic added in quadrature.

#: data_file: Table2.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering
#: keyword cmenergies: 7000.0
#: ETARAP(P=3),,,0.8-1.0
#: RE,,,P P --> CHARGED X
#: SQRT(S) [GeV],,,7000.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2(N)/DETARAP(P=3)/DPT(P=3) [GEV**-1],error +,error -
0.15000000000000002,0.1,0.2,9.4,0.48,-0.48
0.25,0.2,0.3,10.01,0.5,-0.5
0.35,0.3,0.4,8.16,0.41,-0.41
0.45,0.4,0.5,6.41,0.33,-0.33
0.55,0.5,0.6,4.96,0.26,-0.26
0.6499999999999999,0.6,0.7,3.79,0.21,-0.21
0.75,0.7,0.8,3.04,0.17,-0.17
0.8500000000000001,0.8,0.9,2.3,0.13,-0.13
0.95,0.9,1.0,1.84,0.11,-0.11
1.1,1.0,1.2,1.29,0.07,-0.07
1.2999999999999998,1.2,1.4,0.83,0.05,-0.05
1.5,1.4,1.6,0.54,0.03,-0.03
1.7000000000000002,1.6,1.8,0.38,0.03,-0.03
1.9,1.8,2.0,0.26,0.02,-0.02

#: ETARAP(P=3),,,1.0-1.2
#: RE,,,P P --> CHARGED X
#: SQRT(S) [GeV],,,7000.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2(N)/DETARAP(P=3)/DPT(P=3) [GEV**-1],error +,error -
0.15000000000000002,0.1,0.2,9.64,0.49,-0.49
0.25,0.2,0.3,9.87,0.5,-0.5
0.35,0.3,0.4,8.14,0.41,-0.41
0.45,0.4,0.5,6.28,0.33,-0.33
0.55,0.5,0.6,4.9,0.26,-0.26
0.6499999999999999,0.6,0.7,3.65,0.2,-0.2
0.75,0.7,0.8,2.89,0.16,-0.16
0.8500000000000001,0.8,0.9,2.3,0.13,-0.13
0.95,0.9,1.0,1.79,0.11,-0.11
1.1,1.0,1.2,1.24,0.07,-0.07
1.2999999999999998,1.2,1.4,0.82,0.05,-0.05
1.5,1.4,1.6,0.52,0.03,-0.03
1.7000000000000002,1.6,1.8,0.36,0.02,-0.02
1.9,1.8,2.0,0.26,0.02,-0.02

#: ETARAP(P=3),,,1.2-1.4
#: RE,,,P P --> CHARGED X
#: SQRT(S) [GeV],,,7000.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2(N)/DETARAP(P=3)/DPT(P=3) [GEV**-1],error +,error -
0.15000000000000002,0.1,0.2,9.89,0.51,-0.51
0.25,0.2,0.3,10.46,0.52,-0.52
0.35,0.3,0.4,8.3,0.42,-0.42
0.45,0.4,0.5,6.35,0.33,-0.33
0.55,0.5,0.6,4.85,0.26,-0.26
0.6499999999999999,0.6,0.7,3.71,0.2,-0.2
0.75,0.7,0.8,2.88,0.16,-0.16
0.8500000000000001,0.8,0.9,2.31,0.13,-0.13
0.95,0.9,1.0,1.78,0.11,-0.11
1.1,1.0,1.2,1.25,0.07,-0.07
1.2999999999999998,1.2,1.4,0.79,0.05,-0.05
1.5,1.4,1.6,0.51,0.03,-0.03
1.7000000000000002,1.6,1.8,0.34,0.02,-0.02
1.9,1.8,2.0,0.25,0.02,-0.02

#: ETARAP(P=3),,,1.4-1.6
#: RE,,,P P --> CHARGED X
#: SQRT(S) [GeV],,,7000.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2(N)/DETARAP(P=3)/DPT(P=3) [GEV**-1],error +,error -
0.15000000000000002,0.1,0.2,10.28,0.53,-0.53
0.25,0.2,0.3,10.45,0.52,-0.52
0.35,0.3,0.4,8.24,0.42,-0.42
0.45,0.4,0.5,6.43,0.33,-0.33
0.55,0.5,0.6,4.79,0.26,-0.26
0.6499999999999999,0.6,0.7,3.91,0.21,-0.21
0.75,0.7,0.8,2.85,0.16,-0.16
0.8500000000000001,0.8,0.9,2.24,0.13,-0.13
0.95,0.9,1.0,1.76,0.11,-0.11
1.1,1.0,1.2,1.22,0.07,-0.07
1.2999999999999998,1.2,1.4,0.77,0.05,-0.05
1.5,1.4,1.6,0.53,0.03,-0.03
1.7000000000000002,1.6,1.8,0.36,0.03,-0.03
1.9,1.8,2.0,0.23,0.02,-0.02

