1. 전자석에 흘려주는 전류에 따른 자기장,,,,"샘플(n-type,p-type)에 전류를 고정시킨 뒤, 자기장을 증가시킬 때 측정되는 Hall Voltage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
자기장 크기(G),전류(A),전류(double check),,2. n-type Ge,,,,,,,,,,,,,,,,3. p-type Ge,,,,,,,,,,,,,
40,,0,,2-1) 전류 2mA,initial voltage :,-4.6,,,2-2) 전류 4mA,initial voltage :,38.3,,,2-3) 전류 6mA,initial voltage :,35,,,,3-1) 전류 2mA,initial voltage :,0,,,3-2) 전류 4mA,initial voltage :,0,,,3-3) 전류 6mA,initial voltage :,0,
100,0.04,0.02,,자기장 만드는 전류(A),자기장 크기(G),전압(mV),전압(mV),,자기장 만드는 전류(A),자기장 크기(G),전압(mV),전압(mV),,자기장 만드는 전류(A),자기장 크기(G),전압(mV),전압(mV),,,자기장 만드는 전류(A),자기장 크기(G),전압(mV),전압(mV),,자기장 만드는 전류(A),자기장 크기(G),전압(mV),전압(mV),,자기장 만드는 전류(A),자기장 크기(G),전압(mV),전압(mV)
2600,1.4,1.26,,2.75,5000,-93.8,-89.2,,2.75,5000,-134.2,-172.5,,,,,,,,2.75,5000,35.5,35.5,,2.75,5000,71.3,71.3,,2.75,5000,106.7,106.7
2700,1.46,1.32,,2.87,5200,-97.2,-92.6,,2.87,5200,-140.4,-178.7,,,,,,,,2.87,5200,36.5,36.5,,2.87,5200,73.4,73.4,,2.87,5200,109.9,109.9
2800,1.5,1.37,,2.99,5400,-100.4,-95.8,,2.99,5400,-146.6,-184.9,,,,,,,,2.99,5400,37.5,37.5,,2.99,5400,75.3,75.3,,2.99,5400,112.9,112.9
2900,1.56,1.42,,3.12,5600,-104.2,-99.6,,3.12,5600,-153.6,-191.9,,,,,,,,3.12,5600,38.6,38.6,,3.12,5600,77.4,77.4,,3.12,5600,116.1,116.1
3000,1.61,1.47,,3.24,5800,-107.2,-102.6,,3.24,5800,-159.2,-197.5,,,,,,,,3.24,5800,39.5,39.5,,3.24,5800,79.2,79.2,,3.24,5800,118.6,118.6
3100,1.67,1.53,,3.37,6000,-110.3,-105.7,,3.37,6000,-165.8,-204.1,,,,,,,,3.37,6000,40.6,40.6,,3.37,6000,81.2,81.2,,3.37,6000,121.8,121.8
3200,1.73,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300,1.77,1.63,,,,,,상대오차,,,,,,,,,,,,,,,,,,,,,,,,,
3400,1.83,1.68,,1회차,2mA,1.39E+22,,3.731%,,,,,,,,,,,,,전류,표준편차,기울기,밀도,밀도 평균,상대오차,,,,,,,
3500,1.89,1.74,,,4mA,1.44E+22,,0.311%,,,,,,,,,,,,1회차,2mA,8.426E-09,7.306E-03,3.418E+22,,0.221%,,,,,,,
3600,1.94,1.8,,,6mA,1.51E+22,1.45E+22,4.043%,,,,,,,,,,,,,4mA,3.581E-08,1.467E-02,3.404E+22,,0.171%,,,,,,,
3700,2,1.86,,2회차,2mA,1.49E+22,,4.431%,,,,,,,,,,,,,6mA,7.965E-08,2.198E-02,3.408E+22,3.410E+22,0.050%,,,,,,,
3800,2.06,1.91,,,4mA,1.54E+22,,1.041%,,,,,,,,,,,,2회차,2mA,2.999E-09,6.861E-03,3.639E+22,,0.224%,,,,,,,
3900,2.11,1.96,,,6mA,1.64E+22,1.56E+22,5.471%,,,,,,,,,,,,,4mA,1.300E-08,1.378E-02,3.625E+22,,0.173%,,,,,,,
4000,2.17,2.02,,,,,,,,,,,,,,,,,,,6mA,2.873E-08,2.064E-02,3.629E+22,3.631E+22,0.051%,,,,,,,
4100,2.22,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4200,2.29,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4300,2.34,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4400,2.4,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4500,2.44,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4600,2.51,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700,2.57,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4800,2.63,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4900,2.69,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,2.75,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5100,2.81,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5200,2.87,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5300,2.93,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5400,2.99,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5500,3.06,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5600,3.12,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5700,3.18,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5800,3.24,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5900,3.31,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000,3.37,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6100,3.44,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6200,3.51,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6300,3.58,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400,3.65,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500,3.72,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6600,3.8,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6700,3.88,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6800,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
