pt,dN/detadpt
3.52,0.000706495
3.53,0.00068661
3.54,0.000667285
3.55,0.000648504
3.56,0.000630252
3.57,0.000612513
3.58,0.000595273
3.59,0.000578518
3.6,0.000562235
3.61,0.00054641
3.62,0.000531031
3.63,0.000516084
3.64,0.000501558
3.65,0.000487441
3.66,0.000473721
3.67,0.000460387
3.68,0.000447428
3.69,0.000434835
3.7,0.000422595
3.71,0.0004107
3.72,0.00039914
3.73,0.000387905
3.74,0.000376986
3.75,0.000366375
3.76,0.000356062
3.77,0.00034604
3.78,0.0003363
3.79,0.000326833
3.8,0.000317633
3.81,0.000308693
3.82,0.000300003
3.83,0.000291559
3.84,0.000283352
3.85,0.000275376
3.86,0.000267624
3.87,0.000260091
3.88,0.000252769
3.89,0.000245654
3.9,0.000238739
3.91,0.000232019
3.92,0.000225488
3.93,0.00021914
3.94,0.000212971
3.95,0.000206976
3.96,0.00020115
3.97,0.000195488
3.98,0.000189985
3.99,0.000184637
4,0.000179439
