pt,dN/detadpt
3.49,0.000320698
3.5,0.000311672
3.51,0.0003029
3.52,0.000294375
3.53,0.00028609
3.54,0.000278038
3.55,0.000270212
3.56,0.000262607
3.57,0.000255216
3.58,0.000248032
3.59,0.000241051
3.6,0.000234266
3.61,0.000227673
3.62,0.000221265
3.63,0.000215037
3.64,0.000208984
3.65,0.000203102
3.66,0.000197385
3.67,0.000191829
3.68,0.00018643
3.69,0.000181182
3.7,0.000176083
3.71,0.000171126
3.72,0.00016631
3.73,0.000161628
3.74,0.000157079
3.75,0.000152657
3.76,0.00014836
3.77,0.000144184
3.78,0.000140126
3.79,0.000136182
3.8,0.000132348
3.81,0.000128623
3.82,0.000125002
3.83,0.000121484
3.84,0.000118064
3.85,0.000114741
3.86,0.000111511
3.87,0.000108372
3.88,0.000105321
3.89,0.000102357
3.9,9.94754e-05
3.91,9.66752e-05
3.92,9.39539e-05
3.93,9.13091e-05
3.94,8.87388e-05
3.95,8.62408e-05
3.96,8.38131e-05
3.97,8.14538e-05
3.98,7.91609e-05
3.99,7.69325e-05
4,7.47668e-05
